,loss,mae,mse,val_loss,val_mae,val_mse,epoch
289,203098256.0,9143.3466796875,203098256.0,4396920832.0,35988.8671875,4396920832.0,289
290,201443152.0,9104.2626953125,201443152.0,4438136832.0,36509.36328125,4438136832.0,290
291,199818944.0,9093.2626953125,199818944.0,4499921408.0,36903.32421875,4499921408.0,291
292,198227008.0,9067.345703125,198227008.0,4565151232.0,37264.296875,4565151232.0,292
293,196665984.0,9039.08984375,196665984.0,4607989248.0,37761.48046875,4607989248.0,293
294,195136976.0,9029.2607421875,195136976.0,4681685504.0,38060.73046875,4681685504.0,294
295,194002320.0,9007.9306640625,194002320.0,4786482688.0,38325.9375,4786482688.0,295
296,192571728.0,8954.84765625,192571728.0,4804362752.0,39300.1484375,4804362752.0,296
297,190957248.0,8975.9697265625,190957248.0,4920708096.0,39530.0,4920708096.0,297
298,189658544.0,8916.865234375,189658544.0,4990440960.0,39995.5625,4990440960.0,298
299,188386864.0,8895.7626953125,188386864.0,5026128896.0,40620.16796875,5026128896.0,299
